index,Seed,Ticks,SuccessfulInfluence,Topology,neighborhood,num_agents,num_features,num_traits,communication_regime,homophily,seed,Regions,Isolates,Homogeneity,AverageDistance
0,18320,52388,14860,grid,moore,100,5,15,one-to-one,0.125,18320,2,1,0.99,0.02
0,14551,43713,15109,grid,moore,100,5,15,one-to-one,0.125,14551,1,0,1.0,0.0
0,77389,64864,19869,grid,moore,100,5,15,one-to-one,0.125,77389,4,2,0.96,0.0725
0,78477,63090,21425,grid,moore,100,5,15,one-to-one,0.125,78477,1,0,1.0,0.0
0,22648,74190,19417,grid,moore,100,5,15,one-to-one,0.125,22648,2,1,0.99,0.02
0,23827,120420,37415,grid,moore,100,5,15,one-to-one,0.125,23827,1,0,1.0,0.0
0,71047,72603,24272,grid,moore,100,5,15,one-to-one,0.125,71047,1,0,1.0,0.0
0,69352,57360,18327,grid,moore,100,5,15,one-to-one,0.125,69352,3,2,0.98,0.04
0,65654,114300,27547,grid,moore,100,5,15,one-to-one,0.125,65654,5,2,0.94,0.1075
0,51112,60921,20320,grid,moore,100,5,15,one-to-one,0.125,51112,2,1,0.99,0.02
0,51941,71700,20507,grid,moore,100,5,15,one-to-one,0.125,51941,3,1,0.97,0.055
0,57309,58423,19308,grid,moore,100,5,15,one-to-one,0.125,57309,1,0,1.0,0.0
0,76328,69358,18438,grid,moore,100,5,15,one-to-one,0.125,76328,3,2,0.98,0.04
0,76974,62681,15710,grid,moore,100,5,15,one-to-one,0.125,76974,2,0,0.91,0.105
0,34695,53138,17359,grid,moore,100,5,15,one-to-one,0.125,34695,1,0,1.0,0.0
0,97421,73517,22562,grid,moore,100,5,15,one-to-one,0.125,97421,1,0,1.0,0.0
0,77723,77177,19916,grid,moore,100,5,15,one-to-one,0.125,77723,1,0,1.0,0.0
0,71334,55301,13960,grid,moore,100,5,15,one-to-one,0.125,71334,2,1,0.99,0.02
0,21753,86798,28243,grid,moore,100,5,15,one-to-one,0.125,21753,1,0,1.0,0.0
0,68004,97694,27221,grid,moore,100,5,15,one-to-one,0.125,68004,3,1,0.97,0.055
0,25904,54384,18959,grid,moore,100,5,15,one-to-one,0.125,25904,2,1,0.99,0.02
0,71703,81822,25468,grid,moore,100,5,15,one-to-one,0.125,71703,2,1,0.99,0.02
0,46641,71879,21567,grid,moore,100,5,15,one-to-one,0.125,46641,4,2,0.96,0.0725
0,71790,100090,31719,grid,moore,100,5,15,one-to-one,0.125,71790,1,0,1.0,0.0
0,11479,101172,31516,grid,moore,100,5,15,one-to-one,0.125,11479,1,0,1.0,0.0
0,86754,60045,18186,grid,moore,100,5,15,one-to-one,0.125,86754,2,0,0.98,0.035
0,75353,74526,22973,grid,moore,100,5,15,one-to-one,0.125,75353,1,0,1.0,0.0
0,82892,89350,26248,grid,moore,100,5,15,one-to-one,0.125,82892,3,1,0.97,0.055
0,97993,78012,24425,grid,moore,100,5,15,one-to-one,0.125,97993,1,0,1.0,0.0
0,40279,47630,15121,grid,moore,100,5,15,one-to-one,0.125,40279,3,1,0.96,0.065
0,76086,69560,19586,grid,moore,100,5,15,one-to-one,0.125,76086,4,2,0.93,0.12
0,77080,59481,19988,grid,moore,100,5,15,one-to-one,0.125,77080,1,0,1.0,0.0
0,89873,54649,18543,grid,moore,100,5,15,one-to-one,0.125,89873,1,0,1.0,0.0
0,46370,57615,18401,grid,moore,100,5,15,one-to-one,0.125,46370,1,0,1.0,0.0
0,56249,65623,19357,grid,moore,100,5,15,one-to-one,0.125,56249,2,0,0.98,0.035
0,94763,103850,34580,grid,moore,100,5,15,one-to-one,0.125,94763,1,0,1.0,0.0
0,78678,78153,28462,grid,moore,100,5,15,one-to-one,0.125,78678,3,2,0.98,0.04
0,40246,42160,14846,grid,moore,100,5,15,one-to-one,0.125,40246,1,0,1.0,0.0
0,23189,56020,16938,grid,moore,100,5,15,one-to-one,0.125,23189,1,0,1.0,0.0
0,97977,86097,27918,grid,moore,100,5,15,one-to-one,0.125,97977,1,0,1.0,0.0
0,91512,85135,29112,grid,moore,100,5,15,one-to-one,0.125,91512,1,0,1.0,0.0
0,85963,70787,20069,grid,moore,100,5,15,one-to-one,0.125,85963,3,0,0.96,0.065
0,47920,94335,26680,grid,moore,100,5,15,one-to-one,0.125,47920,1,0,1.0,0.0
0,10436,82911,24436,grid,moore,100,5,15,one-to-one,0.125,10436,2,1,0.99,0.02
0,14388,60040,19275,grid,moore,100,5,15,one-to-one,0.125,14388,2,0,0.97,0.045
0,68818,76635,27861,grid,moore,100,5,15,one-to-one,0.125,68818,1,0,1.0,0.0
